,alpha,beta,gamma,tau,scf_cs,nn_scf_cs
0,4,0.2,8,0.2,2.024487849,2.720694
1,13,0.2,8,0.2,2.253971517,3.2191582
2,22,0.2,8,0.2,2.254868194,3.2843242
3,31,0.2,8,0.2,2.255120663,3.1226947
4,40,0.2,8,0.2,2.255140983,2.9859424
5,4,0.3,8,0.2,1.940033081,2.7158537
6,13,0.3,8,0.2,2.451185274,3.398614
7,22,0.3,8,0.2,2.452612966,3.2483244
8,31,0.3,8,0.2,2.452574592,3.2129545
9,40,0.3,8,0.2,2.452497872,3.2104068
10,4,0.4,8,0.2,1.796336737,2.6086783
11,13,0.4,8,0.2,2.488875888,3.1638427
12,22,0.4,8,0.2,2.490254268,3.1813488
13,31,0.4,8,0.2,2.490245033,3.2066822
14,40,0.4,8,0.2,2.490140461,3.2348967
15,4,0.5,8,0.2,1.605347357,2.0855105
16,13,0.5,8,0.2,2.398302744,3.06112
17,22,0.5,8,0.2,2.401182997,3.1846657
18,31,0.5,8,0.2,2.401177963,3.2149434
19,40,0.5,8,0.2,2.401211527,3.2356882
20,4,0.6,8,0.2,1.39575452,2.0479736
21,13,0.6,8,0.2,2.156690568,2.7429786
22,22,0.6,8,0.2,2.161859702,2.9448757
23,31,0.6,8,0.2,2.161917069,2.9747963
24,40,0.6,8,0.2,2.161935193,2.9975061
25,4,0.7,8,0.2,1.135901057,2.0434155
26,13,0.7,8,0.2,1.729075702,2.323146
27,22,0.7,8,0.2,1.729067816,2.4251125
28,31,0.7,8,0.2,1.7371842,2.4421983
29,40,0.7,8,0.2,1.73765023,2.4564028
30,4,0.2,14,0.2,2.068945661,2.6245844
31,13,0.2,14,0.2,2.781531369,3.5883527
32,22,0.2,14,0.2,2.792605739,3.558443
33,31,0.2,14,0.2,2.793164755,3.492313
34,40,0.2,14,0.2,2.793074878,3.4516945
35,4,0.3,14,0.2,1.878754239,2.3953857
36,13,0.3,14,0.2,3.041992704,3.8893394
37,22,0.3,14,0.2,3.058981805,3.9932518
38,31,0.3,14,0.2,3.060080739,4.0317826
39,40,0.3,14,0.2,3.059977585,4.0423837
40,4,0.4,14,0.2,1.652322642,2.2738595
41,13,0.4,14,0.2,3.246106025,4.074084
42,22,0.4,14,0.2,3.269614044,4.1662164
43,31,0.4,14,0.2,3.271014538,4.1881657
44,40,0.4,14,0.2,3.271381715,4.1996617
45,4,0.5,14,0.2,1.500559498,2.113
46,13,0.5,14,0.2,3.28533064,4.2020974
47,22,0.5,14,0.2,3.316383367,4.2640433
48,31,0.5,14,0.2,3.317969633,4.2780905
49,40,0.5,14,0.2,3.318001959,4.2869344
50,4,0.6,14,0.2,1.469510802,2.0632222
51,13,0.6,14,0.2,3.231396083,4.182048
52,22,0.6,14,0.2,3.265127209,4.281962
53,31,0.6,14,0.2,3.269727918,4.2830124
54,40,0.6,14,0.2,3.269699594,4.2830987
55,4,0.7,14,0.2,1.403028861,2.0463064
56,13,0.7,14,0.2,2.832606961,3.6800866
57,22,0.7,14,0.2,2.905260543,3.8538208
58,31,0.7,14,0.2,2.914133302,3.8560681
59,40,0.7,14,0.2,2.914987289,3.8556414
60,4,0.2,20,0.2,2.363850976,2.9524708
61,13,0.2,20,0.2,3.367713844,4.3351226
62,22,0.2,20,0.2,3.436106442,4.44779
63,31,0.2,20,0.2,3.438160359,4.4982696
64,40,0.2,20,0.2,3.438105187,4.5289407
65,4,0.3,20,0.2,2.109977893,2.653759
66,13,0.3,20,0.2,3.930208228,4.6951194
67,22,0.3,20,0.2,4.039579431,4.7418756
68,31,0.3,20,0.2,4.042990803,4.784542
69,40,0.3,20,0.2,4.043348074,4.818683
70,4,0.4,20,0.2,1.816961727,2.354611
71,13,0.4,20,0.2,4.326755002,4.937656
72,22,0.4,20,0.2,4.476578485,4.976185
73,31,0.4,20,0.2,4.480937088,5.0040555
74,40,0.4,20,0.2,4.481531599,5.0241065
75,4,0.5,20,0.2,1.70113359,2.3018208
76,13,0.5,20,0.2,4.526828881,5.093181
77,22,0.5,20,0.2,4.696111335,5.141275
78,31,0.5,20,0.2,4.702958302,5.1502943
79,40,0.5,20,0.2,4.70366118,5.153479
80,4,0.6,20,0.2,1.680012955,2.228982
81,13,0.6,20,0.2,4.367121633,5.0546556
82,22,0.6,20,0.2,4.568553797,5.161435
83,31,0.6,20,0.2,4.583457447,5.1526766
84,40,0.6,20,0.2,4.58480114,5.1404777
85,4,0.7,20,0.2,1.743686625,2.1487057
86,13,0.7,20,0.2,3.936787091,4.7689533
87,22,0.7,20,0.2,4.281198769,4.954791
88,31,0.7,20,0.2,4.293104031,4.9395633
89,40,0.7,20,0.2,4.299755273,4.9198604
90,4,0.2,26,0.2,2.762550101,3.3384905
91,13,0.2,26,0.2,4.021629274,4.7941136
92,22,0.2,26,0.2,4.221677575,4.8478456
93,31,0.2,26,0.2,4.224470151,4.909601
94,40,0.2,26,0.2,4.22553559,4.9680395
95,4,0.3,26,0.2,2.352516142,2.993478
96,13,0.3,26,0.2,4.740825587,5.166533
97,22,0.3,26,0.2,5.065504048,5.298027
98,31,0.3,26,0.2,5.069996773,5.3464065
99,40,0.3,26,0.2,5.072133347,5.383408
100,4,0.4,26,0.2,2.035816821,2.5836563
101,13,0.4,26,0.2,5.305491778,5.547991
102,22,0.4,26,0.2,5.746410908,5.659101
103,31,0.4,26,0.2,5.752429637,5.6726556
104,40,0.4,26,0.2,5.755513059,5.6758113
105,4,0.5,26,0.2,1.93701459,2.5637197
106,13,0.5,26,0.2,5.575496122,5.70332
107,22,0.5,26,0.2,6.078721824,5.8548813
108,31,0.5,26,0.2,6.092555972,5.8471885
109,40,0.5,26,0.2,6.096055307,5.8261466
110,4,0.6,26,0.2,1.963069872,2.4951332
111,13,0.6,26,0.2,5.394138185,5.6347804
112,22,0.6,26,0.2,6.005726701,5.8278995
113,31,0.6,26,0.2,6.025478352,5.808003
114,40,0.6,26,0.2,6.032654461,5.777403
115,4,0.7,26,0.2,2.026629474,2.4016745
116,13,0.7,26,0.2,4.722465467,5.4523587
117,22,0.7,26,0.2,5.572735074,5.649661
118,31,0.7,26,0.2,5.585192692,5.6347313
119,40,0.7,26,0.2,5.599130237,5.6112556
120,4,0.2,32,0.2,3.230471224,3.7840614
121,13,0.2,32,0.2,4.722356486,5.1924067
122,22,0.2,32,0.2,5.123991947,5.3646545
123,31,0.2,32,0.2,5.130377715,5.4113994
124,40,0.2,32,0.2,5.133345165,5.4504557
125,4,0.3,32,0.2,2.590367151,3.390398
126,13,0.3,32,0.2,5.445287611,5.6499643
127,22,0.3,32,0.2,6.096767967,5.867587
128,31,0.3,32,0.2,6.107518623,5.941468
129,40,0.3,32,0.2,6.112387941,5.9946327
130,4,0.4,32,0.2,2.20091762,2.752389
131,13,0.4,32,0.2,6.004394637,6.270071
132,22,0.4,32,0.2,6.878544413,6.6596384
133,31,0.4,32,0.2,6.893621931,6.7027206
134,40,0.4,32,0.2,6.90019444,6.7153234
135,4,0.5,32,0.2,2.144693537,2.7612329
136,13,0.5,32,0.2,6.30756433,6.57089
137,22,0.5,32,0.2,7.334627343,7.1107287
138,31,0.5,32,0.2,7.363716926,7.134339
139,40,0.5,32,0.2,7.371621096,7.125058
140,4,0.6,32,0.2,2.281077085,2.756206
141,13,0.6,32,0.2,6.227348015,6.3893666
142,22,0.6,32,0.2,7.493632015,7.218615
143,31,0.6,32,0.2,7.520571363,7.220763
144,40,0.6,32,0.2,7.536573053,7.1868005
145,4,0.7,32,0.2,2.314360307,2.7012315
146,13,0.7,32,0.2,5.343299691,5.992393
147,22,0.7,32,0.2,6.896933718,6.9274364
148,31,0.7,32,0.2,6.929016227,6.911056
149,40,0.7,32,0.2,6.929016227,6.8473635
150,4,0.2,8,0.4,3.075205257,3.4193645
151,13,0.2,8,0.4,3.740122687,4.367593
152,22,0.2,8,0.4,3.742576211,4.2636476
153,31,0.2,8,0.4,3.741454219,4.144385
154,40,0.2,8,0.4,3.741610782,4.077611
155,4,0.3,8,0.4,3.309369817,3.5337977
156,13,0.3,8,0.4,4.339904774,4.8286347
157,22,0.3,8,0.4,4.34162289,4.8707957
158,31,0.3,8,0.4,4.342138283,4.898372
159,40,0.3,8,0.4,4.342285091,4.8971043
160,4,0.4,8,0.4,3.203177926,3.5373368
161,13,0.4,8,0.4,4.527113965,4.9886484
162,22,0.4,8,0.4,4.529764142,5.01961
163,31,0.4,8,0.4,4.529893065,5.038399
164,40,0.4,8,0.4,4.526035497,5.0476546
165,4,0.5,8,0.4,3.078500568,3.2402143
166,13,0.5,8,0.4,4.686841719,5.04092
167,22,0.5,8,0.4,4.689648449,5.050201
168,31,0.5,8,0.4,4.690440494,5.054059
169,40,0.5,8,0.4,4.690208451,5.054991
170,4,0.6,8,0.4,2.878914595,2.8673944
171,13,0.6,8,0.4,4.64223654,4.9128222
172,22,0.6,8,0.4,4.646269984,4.9275813
173,31,0.6,8,0.4,4.646424586,4.915884
174,40,0.6,8,0.4,4.646432615,4.906649
175,4,0.7,8,0.4,2.299145954,2.6201835
176,13,0.7,8,0.4,3.840752324,4.279033
177,22,0.7,8,0.4,3.852070581,4.396475
178,31,0.7,8,0.4,3.852008082,4.378313
179,40,0.7,8,0.4,3.852061761,4.3623505
180,4,0.2,14,0.4,3.891473502,4.097122
181,13,0.2,14,0.4,5.419830883,5.57464
182,22,0.2,14,0.4,5.444447359,5.5599856
183,31,0.2,14,0.4,5.445810206,5.551152
184,40,0.2,14,0.4,5.445453432,5.5339212
185,4,0.3,14,0.4,3.956571658,4.396609
186,13,0.3,14,0.4,6.455636265,6.3302135
187,22,0.3,14,0.4,6.49478676,6.453424
188,31,0.3,14,0.4,6.497247957,6.497165
189,40,0.3,14,0.4,6.497265932,6.4959054
190,4,0.4,14,0.4,3.723246256,4.05529
191,13,0.4,14,0.4,7.23064001,7.0038924
192,22,0.4,14,0.4,7.281215267,7.105868
193,31,0.4,14,0.4,7.284416667,7.1235366
194,40,0.4,14,0.4,7.284516791,7.1219907
195,4,0.5,14,0.4,3.269507497,3.3728724
196,13,0.5,14,0.4,7.438802956,7.3102
197,22,0.5,14,0.4,7.495535215,7.3863835
198,31,0.5,14,0.4,7.498976082,7.3669515
199,40,0.5,14,0.4,7.498873269,7.336461
200,4,0.6,14,0.4,3.080519414,3.130445
201,13,0.6,14,0.4,7.512447684,7.254382
202,22,0.6,14,0.4,7.573531857,7.292616
203,31,0.6,14,0.4,7.576838867,7.241135
204,40,0.6,14,0.4,7.576867683,7.186281
205,4,0.7,14,0.4,2.817776709,2.9673629
206,13,0.7,14,0.4,6.793187558,6.6484003
207,22,0.7,14,0.4,6.844227556,6.690664
208,31,0.7,14,0.4,6.848173219,6.624684
209,40,0.7,14,0.4,6.848265361,6.564579
210,4,0.2,20,0.4,4.918380921,5.2789207
211,13,0.2,20,0.4,7.182078553,6.8688617
212,22,0.2,20,0.4,7.339669525,7.11713
213,31,0.2,20,0.4,7.344458177,7.1790786
214,40,0.2,20,0.4,7.344475723,7.025933
215,4,0.3,20,0.4,4.862999827,5.181412
216,13,0.3,20,0.4,8.71327327,8.6387
217,22,0.3,20,0.4,8.96719825,8.981872
218,31,0.3,20,0.4,8.974881314,9.022721
219,40,0.3,20,0.4,8.975634506,9.030534
220,4,0.4,20,0.4,4.276807425,4.618996
221,13,0.4,20,0.4,9.799885792,9.610344
222,22,0.4,20,0.4,10.1307116,10.049975
223,31,0.4,20,0.4,10.14066483,10.09103
224,40,0.4,20,0.4,10.14206017,10.096418
225,4,0.5,20,0.4,3.760883132,3.9854774
226,13,0.5,20,0.4,10.45346495,10.304602
227,22,0.5,20,0.4,10.83055412,10.816462
228,31,0.5,20,0.4,10.84157035,10.840613
229,40,0.5,20,0.4,10.84314018,10.827638
230,4,0.6,20,0.4,3.636435896,3.8046885
231,13,0.6,20,0.4,10.81898781,10.559973
232,22,0.6,20,0.4,11.19092929,11.009502
233,31,0.6,20,0.4,11.20261942,10.982765
234,40,0.6,20,0.4,11.20406751,10.933217
235,4,0.7,20,0.4,3.64696296,3.717535
236,13,0.7,20,0.4,10.3950464,10.186906
237,22,0.7,20,0.4,10.71366649,10.565435
238,31,0.7,20,0.4,10.73055902,10.482664
239,40,0.7,20,0.4,10.73161896,10.389398
240,4,0.2,26,0.4,6.121101683,5.9409637
241,13,0.2,26,0.4,8.948598397,8.867522
242,22,0.2,26,0.4,9.415608585,9.396854
243,31,0.2,26,0.4,9.421821752,9.419063
244,40,0.2,26,0.4,9.424348538,9.371447
245,4,0.3,26,0.4,5.750482573,5.8003955
246,13,0.3,26,0.4,10.65710842,10.435032
247,22,0.3,26,0.4,11.40750425,11.335693
248,31,0.3,26,0.4,11.41782827,11.438123
249,40,0.3,26,0.4,11.42268955,11.471693
250,4,0.4,26,0.4,4.833532678,5.269881
251,13,0.4,26,0.4,11.93547567,11.922895
252,22,0.4,26,0.4,12.9239078,13.076607
253,31,0.4,26,0.4,12.9373779,13.175937
254,40,0.4,26,0.4,12.94449405,13.20099
255,4,0.5,26,0.4,4.307347191,4.7490034
256,13,0.5,26,0.4,13.01209759,13.004128
257,22,0.5,26,0.4,14.15463395,14.113768
258,31,0.5,26,0.4,14.16992054,14.177525
259,40,0.5,26,0.4,14.17795561,14.184866
260,4,0.6,26,0.4,4.195555532,4.528334
261,13,0.6,26,0.4,13.52105905,13.405495
262,22,0.6,26,0.4,14.65060878,14.384825
263,31,0.6,26,0.4,14.6703966,14.410565
264,40,0.6,26,0.4,14.67793525,14.397223
265,4,0.7,26,0.4,4.295418015,4.3948145
266,13,0.7,26,0.4,13.10238908,13.247434
267,22,0.7,26,0.4,14.09723303,14.081166
268,31,0.7,26,0.4,14.12454377,14.065167
269,40,0.7,26,0.4,14.13198834,14.023647
270,4,0.2,32,0.4,7.193167245,7.5102806
271,13,0.2,32,0.4,10.38615423,10.232726
272,22,0.2,32,0.4,11.30968244,11.347371
273,31,0.2,32,0.4,11.324778,11.399748
274,40,0.2,32,0.4,11.33101888,11.352388
275,4,0.3,32,0.4,6.677906218,7.1095915
276,13,0.3,32,0.4,12.41663382,12.239697
277,22,0.3,32,0.4,13.92585863,13.991059
278,31,0.3,32,0.4,13.95058802,14.120449
279,40,0.3,32,0.4,13.96185253,14.134088
280,4,0.4,32,0.4,5.566326516,5.8795376
281,13,0.4,32,0.4,13.95307307,14.063472
282,22,0.4,32,0.4,15.97887586,15.9956665
283,31,0.4,32,0.4,16.01183837,16.112288
284,40,0.4,32,0.4,16.05531682,16.115446
285,4,0.5,32,0.4,4.851253146,5.432694
286,13,0.5,32,0.4,14.95428213,15.253855
287,22,0.5,32,0.4,17.2693287,17.246458
288,31,0.5,32,0.4,17.30730897,17.344524
289,40,0.5,32,0.4,17.33832985,17.339296
290,4,0.6,32,0.4,4.76511661,5.218808
291,13,0.6,32,0.4,15.58570805,15.817278
292,22,0.6,32,0.4,17.93174521,17.735035
293,31,0.6,32,0.4,17.97880764,17.806696
294,40,0.6,32,0.4,17.99546859,17.791773
295,4,0.7,32,0.4,5.062622906,5.092584
296,13,0.7,32,0.4,15.58810104,15.878401
297,22,0.7,32,0.4,17.74437309,17.619204
298,31,0.7,32,0.4,17.79190925,17.660975
299,40,0.7,32,0.4,17.80988766,17.633585
300,4,0.2,8,0.6,4.520615287,4.6916695
301,13,0.2,8,0.6,5.559982921,5.601512
302,22,0.2,8,0.6,5.562622463,5.5960026
303,31,0.2,8,0.6,5.562653331,5.5805473
304,40,0.2,8,0.6,5.562952096,5.572325
305,4,0.3,8,0.6,4.419030213,4.624891
306,13,0.3,8,0.6,5.891897965,6.0840654
307,22,0.3,8,0.6,5.894312893,6.1396937
308,31,0.3,8,0.6,5.894697764,6.117445
